// J23 1304

'cause [ˈkɔːz]
pollution [pə'lu:ʃ°n]
pollutive [pə'lu:tiv]
polo neck ['pəʋləʋnek]
polo ['pəʋləʋ]
polo-stick ['pəʋləʋstik]
polonaise [.pɒlə'neiz]
polony [pə'ləʋni]
poltergeist ['pɒltəgaist]
poltroon [pɒl'tru:n]
poltroonery [pɒl'tru:nəri]
polyamide [.pɒli'æmaid]
polyandry [.pɒli'ændri]
polyangular [.pɒli'æŋgjʋlə]
polyanthus [.pɒli'ænθəs]
polyarchy ['pɒlia:ki]
polyarthritis [.pɒlia:'θraitis]
polyatomic [.pɒliə'tɒmik]
polybasic [.pɒli'beisik]
polycarbonate [.pɒli'ka:bəneit]
polycentrism [.pɒli'sentriz°m]
polychromatic [.pɒlikrə'mætik]
polychrome ['pɒlikrəʋm]
polychromic [.pɒli'krəʋmik]
polyclinic ['pɒli.klinik]
polycyclic [.pɒli'saiklik]
polyester [.pɒli'estə]
polyether [.pɒli'i:θə]
polyethylene [.pɒli'eθi.li:n]
polygamous [pə'ligəməs]
polygamy [pə'ligəmi]
polyglot ['pɒliglɒt]
polygon ['pɒligən]
polygonal [pə'ligən°l]
polygraphic [pɒli'græfik]
polygyny [pə'liʤəni]
polyhedral [.pɒli'hi:drəl]
polyhedron [.pɒli'hi:drən]
polylingual [.pɒli'liŋgwəl]
polymath ['pɒlimæθ]
polymathic [.pɒli'mæθik]
polymathy [pə'liməθi]
polymer ['pɒlimə]
polymeric [.pɒli'merik]
polymerization [pə.limərai'zeiʃ°n]
polymorphic [.pɒli'mɔ:fik]
polymorphism [.pɒli'mɔ:fiz°m]
Polynesian [pɒli'ni:ziən]
polynomial [.pɒli'nəʋmiəl]
polynuclear [.pɒli'nju:kliə]
polyp ['pɒlip]
polyphonic [.pɒli'fɒnik]
polyphony [pə'lifəni]
polypoid, polypous ['pɒlipɔid, -pəs]
polypropylene [.pɒli'prəʋpəli:n]
polysaccharide [.pɒli'sækəraid]
polysemic [.pɒli'si:mik]
polysemy [.pɒli'si:mi]
polystyrene [.pɒli'stairi:n]
polysulphide [.pɒli'sʌlfaid]
polysyllabic [.pɒlisi'læbik]
polysyllable ['pɒli.siləb°l]
polysynaptic [.pɒlisi'næptik]
polysynthetic [.pɒlisin'θetik]
polytechnic [.pɒli'teknik]
polytheism ['pɒliθi.iz°m]
polythene ['pɒliθi:n]
polytonal [.pɒli'təʋn°l]
polytonality [.pɒlitə'næləti]
polyurethane [.pɒli'jʋəriθein]
polyvalence [.pɒli'veiləns]
polyvalent [.pɒli'veilənt]
polyvinyl [.pɒli'vain°l]
polyzonal [.pɒli'zəʋn°l]
pom [pɒm]
pomace ['pʌmis]
pomade [pəʋ'meid]
pomatum [pəʋ'meitəm]
pomegranate ['pɒmigrænət]
Pomeranian [.pɒmə'reiniən]
pomiculture ['pəʋmikʌlʧə]
pommel ['pɒm°l]
pommy ['pɒmi]
pomp [pɒmp]
pompier ladder ['pɒmpiəlædə]
pompon ['pɒmpɒn]
pomposity [pɒm'pɒsəti]
pompous ['pɒmpəs]
ponce [pɒns]
poncho ['pɒnʧəʋ]
pond [pɒnd]
pondage ['pɒndiʤ]
ponder ['pɒndə]
ponderability [.pɒndərə'biləti]
ponderable ['pɒndərəb°l]
ponderosity [.pɒndə'rɒsəti]
ponderous ['pɒndərəs]
pone [pəʋn]
pongee [pɒn'ʤi:]
poniard ['pɒnjəd]
pont [pɒnt]
pontifex ['pɒntifeks]
pontiff ['pɒntif]
pontifical [pɒn'tifik°l]
pontificate [pɒn'tifikət]
pontlevis [.pɒnt'levis]
ponton ['pɒntɒn]
pontoon [pɒn'tu:n]
pony ['pəʋni]
pooch [pu:ʧ]
poodle ['pu:d°l]
pooh [pu:]
pooh-pooh [.pu:'pu:]
pool [pu:l]
poop [pu:p]
poor [pʋə]
poor-rate ['pʋəreit]
poor-spirited [.pʋə'spiritid]
poorhouse ['pʋəhaʋs]
poorly ['pʋəli]
poorness ['pʋənəs]
poorshouse ['pʋəzhaʋs]
pop star [pɒp sta:]
pop [pɒp]
pop-eyed [.pɒp'aid]
popcorn ['pɒpkɔ:n]
pope [pəʋp]
popery ['pəʋpəri]
popgun ['pɒpgʌn]
popinjay ['pɒpinʤei]
poplar ['pɒplə]
poplin ['pɒplin]
popliteal [.pɒpli'ti:əl]
popmusic ['pɒp.mju:zik]
popover ['pɒp.əʋvə]
poppa ['pɒpə]
popper ['pɒpə]
poppet ['pɒpit]
poppied ['pɒpid]
popple ['pɒp°l]
poppy ['pɒpi]
poppycock ['pɒpi.kɒk]
pops [pɒps]
popsicle ['pɒpsik°l]
populace ['pɒpjʋləs]
popular ['pɒpjʋlə]
popularity [.pɒpjʋ'lærəti]
popularization [.pɒpjʋlərai'zeiʃ°n]
popularize ['pɒpjʋləraiz]
popularizer ['pɒpjʋləraizə]
popularly ['pɒpjʋləli]
populate ['pɒpjʋleit]
populated ['pɒpjʋleitid]
population [.pɒpjʋ'leiʃ°n]
populism ['pɒpʃʋliz°m]
populist ['pɒpjʋlist]
populous ['pɒpjʋləs]
porcelain ['pɔ:s°lin]
porch [pɔ:ʧ]
porcine ['pɔ:sain]
porcupine ['pɔ:kjʋpain]
pore [pɔ:]
porgy ['pɔ:gi]
pork [pɔ:k]
pork-pie hat [.pɔ:kpai'hæt]
porker ['pɔ:kə]
porky ['pɔ:ki]
porn [pɔ:n]
porno ['pɔ:nəʋ]
pornographer [pɔ:'nɒgrəfə]
pornographic [.pɔ:nə'græfik]
pornography [pɔ:'nɒgrəfi]
porosity [pɔ:'rɒsəti]
porous ['pɔ:rəs]
porphyrin ['pɔ:firin]
porphyry ['pɔ:firi]
porpoise ['pɔ:pəs]
porridge ['pɒriʤ]
porringer ['pɒrinʤə]
port [pɔ:t]
portability [.pɔ:tə'biləti]
portable ['pɔ:təb°l]
portage ['pɔ:tiʤ]
portal ['pɔ:t°l]
portative ['pɔ:tətiv]
Porte [pɔ:t]
portend [pɔ:'tend]
portent ['pɔ:tənt]
portentous [pɔ:'tentəs]
porter ['pɔ:tə]
porterage ['pɔ:təriʤ]
porterhouse ['pɔ:təhaʋs]
portfire ['pɔ:tfaiə]
portfolio [.pɔ:t'fəʋliəʋ]
porthole ['pɔ:thəʋl]
portico ['pɔ:tikəʋ]
portiere [.pɔ:ti'eə]
portion ['pɔ:ʃ°n]
portionless ['pɔ:ʃ°nləs]
Portland ['pɔ:tlənd]
portliness ['pɔ:tlinəs]
portly ['pɔ:tli]
portmanteau [pɔ:t'mæntəʋ]
portrait ['pɔ:trət]
portraitist ['pɔ:tritist]
portraiture ['pɔ:triʧə]
portray [pɔ:'trei]
portrayal [pɔ:'treiəl]
portreeve ['pɔ:tri:v]
portress ['pɔ:trəs]
portside ['pɔ:tsaid]
Portuguese [.pɔ:ʧʋ'gi:z]
portwide ['pɔ:twaid]
pose [pəʋz]
posedness ['pəʋzidnəs]
poser ['pəʋzə]
poseur [pəʋ'zз:]
posh [pɒʃ]
posit ['pɒzit]
position [pə'ziʃ°n]
positional [pə'ziʃ°nəl]
positive ['pɒzətiv]
positively ['pɒzətivli]
positivism ['pɒzətiv.iz°m]
positivist ['pɒzətivist]
positivity [.pɒzə'tivəti]
posse ['pɒsi]
possess [pə'zes]
possession [pə'zeʃ°n]
possessive [pə'zəsiv]
possessiveness [pə'zesivnəs]
possessor [pə'zesə]
possessory [pə'zesəri]
possibility [.pɒsə'biləti]
possible ['pɒsəb°l]
possibly ['pɒsəbli]
possum ['pɒsəm]
post captain ['pəʋst.kæptin]
post chaise ['pəʋsʧeiz]
post meridiem [.pəʋstmə'ridiəm]
post office ['pəʋst.ɒfis]
post [pəʋst]
post- [pəʋst-]
post-bag ['pəʋstbæg]
post-bellum [.pəʋst'beləm]
post-coach ['pəʋstkəʋʧ]
post-free [.pəʋst'fri:]
post-horse ['pəʋsthɔ:s]
post-house ['pəʋsthaʋs]
post-mortem [.pəʋst'mɔ:tem]
post-paid [.pəʋst'peid]
post-prandial [.pəʋst'prændiəl]
postage stamp ['pəʋstiʤstæmp]
postage ['pəʋstiʤ]
postal ['pəʋst°l]
postbox ['pəʋstbɒks]
postboy ['pəʋstbɔi]
postcard ['pəʋstka:d]
postclassic [.pəʋst'klæsik]
postcode ['pəʋstkəʋd]
postcondition [.pəʋstkən'diʃ°n]
postdate ['pəʋst.deit]
poste restante [.pəʋst'restɒnt]
poster ['pəʋstə]
posterior [pɒ'stiəriə]
posteriority [pɒ.stiəri'ɒrəti]
posteriorly [pɒ'stiəriəli]
posterity [pɒ'sterəti]
postern ['pɒstən]
postexistence [.pəʋstig'zistəns]
postgraduate [.pəʋst'græʤʋət]
posthaste ['pəʋstheist]
posthumous ['pɒstjʋməs]
postilion [pə'stiliən]
postindustrial [.pəʋstin'dʌstriəl]
postman ['pəʋstmən]
postmark ['pəʋstma:k]
postmaster ['pəʋst.ma:stə]
postmeridian [.pəʋstmə'ridiən]
postmill ['pəʋstmil]
postmodernism [.pəʋst'mɒdəniz°m]
postnatal [.pəʋst'neit°l]
postnuptial [.pəʋst'nʌpʃ°l]
postpone [pəʋst'pəʋn]
postponement [pəʋst'pəʋnmənt]
postposition [.pəʋstpə'ziʃ°n]
postscript ['pəʋsʧkript]
postulant ['pɒstjʋlənt]
postulate ['pɒstjʋlət]
postulatory ['pɒstjʋlətəri]
posture ['pɒsʧə]
posturer ['pɒsʧərə]
postwar [.pəʋst'wɔ:]
posy ['pəʋzi]
pot valour ['pɒtvælə]
pot [pɒt]
pot-hat ['pɒthæt]
potability [.pəʋtə'biləti]
potable ['pəʋtəb°l]
potables ['pəʋtəb°lz]
potamic [pɒ'tæmik]
potash ['pɒtæʃ]
potassium [pə'tæsiəm]
potation [pəʋ'teiʃ°n]
potato [pə'teitəʋ]
potbelly [.pɒt'beli]
potboiler ['pɒt.bɔilə]
poteen [pɒ'ti:n]
potency ['pəʋt°nsi]
potent ['pəʋt°nt]
potentate ['pəʋt°nteit]
potential [pə'tenʃ°l]
potentiate [pəʋ'tenʃieit]
potentiometer [pə.tenʃi'ɒmitə]
potful ['pɒtfʋl]
potheen [pɒ'θi:n]
pother ['pɒðə]
potherb ['pɒthз:b]
pothole ['pɒthəʋl]
pothook ['pɒthʋk]
pothouse ['pɒthaʋs]
pothunter ['pɒt.hʌntə]
potion ['pəʋʃ°n]
potluck [.pɒt'lʌk]
potman ['pɒtmən]
potpourri [.pəʋ'pʋri]
potsherd ['pɒʧз:d]
potshot ['pɒʧɒt]
pott [pɒt]
pottage ['pɒtiʤ]
potter ['pɒtə]
pottery ['pɒtəri]
pottle ['pɒt°l]
potty ['pɒti]
pouch [paʋʧ]
pouchette ['paʋʧit]
pouchy ['paʋʧi]
poulaine [pʋ'lein]
poulpe [pu:lp]
poult [pəʋlt]
poulterer ['pəʋltərə]
poultry ['pəʋltri]
poultryman ['pəʋltrimæn]
pounce [paʋns]
pound cake ['paʋndkeik]
pound [paʋnd]
poundage ['paʋndiʤ]
pounder ['paʋndə]
pour [pɔ:]
pourparler [pʋə'pa:lei]
pout [paʋt]
pouter ['paʋtə]
pouty ['paʋti]
poverty ['pɒvəti]
poverty-stricken ['pɒvəti.strikən]
powder mill ['paʋdəmil]
powder puff ['paʋdəpʌf]
powder ['paʋdə]
powder-magazine [.paʋdəmægə'zi:n]
powdery ['paʋdəri]
power circuit ['paʋəsз:kit]
power plant ['paʋəpla:nt]
power station ['paʋə.steiʃ°n]
power ['paʋə]
power-house ['paʋəhaʋs]
power-saw ['paʋəsɔ:]
power-shovel ['paʋə.ʃʌv°l]
powerboat ['paʋəbəʋt]
powerful [paʋəf°l]
powerless ['paʋələs]
powwow ['paʋwaʋ]
pox [pɒks]
PR [.pi: 'a:]
praam [pra:m]
practicability [.præktikə'biləti]
practicable ['præktikəb°l]
practical joke ['præktik°l ʤəʋk]
practical ['præktik°l]
practicality [.prækti'kæləti]
practically ['præktikli]
practice ['præktis]
practician [præk'tiʃ°n]
practicum ['præktikəm]
practise ['præktis]
practised ['præktist]
practitioner [præk'tiʃ°nə]
praedial ['pri:diəl]
praesidium [pri'sidiəm]
praetorian [pri'tɔ:riən]
pragmatic [præg'mætik]
pragmatical [præg'mætik°l]
pragmatics [præg'mætiks]
pragmatism ['prægmətiz°m]
prairie chicken ['preəri.ʧikin]
prairie schooner ['preəri.sku:nə]
prairie wolf ['preəriwʋlf]
prairie ['preəri]
praise [preiz]
praiseful ['preizfəl]
praiseless ['preizləs]
praiseworthy ['praiz.wз:ði]
praline ['pra:li:n]
pram [præm]
//pram [pra:m]
prance [pra:ns]
prandial ['prændiəl]
prang [præŋ]
prank [præŋk]
prankish ['præŋkiʃ]
prankster ['præŋkstə]
prate [preit]
pratfall ['prætfɔ:l]
praties ['preitiz]
prattle ['præt°l]
prattler ['præt°lə]
prawn [prɔ:n]
praxis ['præksis]
pray [prei]
prayer book ['preəbʋk]
prayer [preə]
prayerful ['preəfʋl]
pre´cis ['preisi:]
pre- [pri:-]
pre-Christian [.pri:'krisʧən]
pre-election [.prii'lekʃ°n]
pre-eminent [pri'eminənt]
pre-emption [pri'empʃ°n]
Pre-Raphaelite [pri:'ræfəlait]
preach [pri:ʧ]
preacher ['pri:ʧə]
preachment ['pri:ʧmənt]
preachy ['pri:ʧi]
preadult [.pri:'ædəlt]
preamble [pri'æmb°l]
preapprehension [.pri:æpri'henʃ°n]
prearrangement [.pri:ə'reinʤmənt]
preatomic [.pri:ə'tɒmik]
preaudience [.pri:'ɔ:diəns]
prebiotic [.pri:bai'ɒtik]
precapitalist [.pri:'kæpit°list]
precarious [pri'keəriəs]
precative ['prekətiv]
precaution [pri'kɔ:ʃ°n]
precautionary [pri'kɔ:ʃ°nəri]
precede [pri'si:d]
precedence ['presidəns]
precedent ['presidənt]
precedential [.presi'denʃəl]
precentor [pri'sentə]
precept ['pri:sept]
preceptive [pri'septiv]
preceptor [pri'septə]
preceptorial [.pri:sep'tɔ:riəl]
preceptress [pri'septrəs]
precession [pri'seʃ°n]
precinct ['pri:siŋkt]
preciosity [.preʃi'ɒsəti]
precious ['preʃəs]
precipice ['presəpis]
precipitable [pri'sipitəb°l]
precipitance, precipitancy [pri'-sipitəns, -si]
precipitant [pri'sipitənt]
precipitateI v [pri'sipiteit]
precipitation [pri.sipi'teiʃ°n]
precipitator [pri'sipiteitə]
precipitous [pri'sipitəs]
precise [pri'saiz]
precisely [pri'saisli]
preciseness [pri'saisnəs]
precisian [pri'siʒn]
precisianism [pri'siʒəniz°m]
precision [pri'siʒ°n]
preclude [pri'klu:d]
preclusion [pri'klu:ʒ°n]
preclusive [pri'klu:siv]
precocious [pri'kəʋʃəs]
precocity [pri'kɒsəti]
preconceive [.pri:kən'si:v]
preconceived [.pri:kən'si:vd]
preconception [.pri:kən'sepʃ°n]
preconcert [.pri:kən'sз:t]
precondition [.pri:kən'diʃ°n]
preconsciousness [.pri:'kɒnʃəsnəs]
precostal [pri:'kɒst°l]
precursor [pri'kз:sə]
precursory [pri'kз:səri]
predacious [pri'deiʃəs]
predation [pri'deiʃ°n]
predator ['predətə]
predatory ['predətəri]
predecease [.pri:di'si:s]
predecessor ['pri:disesə]
predefinition [.pri:defi'niʃ°n]
predesign [.pri:di'zain]
predestine [pri:'destin]
predetermination [.pri:ditз:mi'nei-ʃ°n]
predetermine [.pri:di'tз:min]
predial ['pri:diəl]
predicament [pri'dikəmənt]
predicant ['predikənt]
predicate ['predikət]
predication [.predi'keiʃ°n]
predicative [pri'dikətiv]
predicatory ['predikətəri]
predict [pri'dikt]
predictability [pri.diktə'biləti]
predictable [pri'diktəb°l]
prediction [pri'dikʃ°n]
predictive [pri'diktiv]
predictor [pri'diktə]
predilection [.pri:di'lekʃ°n]
predispose [.pri:di'spəʋz]
predisposition [.pri:dispə'ziʃ°n]
predominance [pri'dɒminəns]
predominancy [pri'dɒminənsi]
predominant [pri'dɒminənt]
predominantly [pri'dɒminəntli]
predominate [pri'dɒmineit]
preeminence [pri'eminəns]
preempt [pri'empt]
preen [pri:n]
preestablish [.pri:is'tæbliʃ]
preexist [.pri:ig'zist]
prefab ['pri:fæb]
preface ['prefəs]
prefatory ['prefətəri]
prefect ['pri:fekt]
prefectoral [.pri:'fektərəl]
prefectorial [pri:fek'tɔ:riəl]
prefecture ['pri:fekʧə]
prefer [pri'fз:]
preferability [.prefərə'biləti]
preferable ['prefrəb°l]
preferableness ['prefərəbəlnəs]
preferably ['prefrəbli]
preference ['prefrəns]
preferential [.prefə'renʃ°l]
preferment [pri'fз:mənt]
prefiguration [.pri:figə'reiʃ°n]
prefix ['pri:fiks]
prefixal ['pri:fiksəl]
preglacial [.pri:'gleiʃəl]
pregnable ['pregnəb°l]
pregnancy ['pregnənsi]
pregnant ['pregnənt]
prehensile [pri'hensail]
prehension [pri'henʃ°n]
prehensive [pri'hensiv]
prehistoric [.pri:hi'stɒrik]
prehistory [.pri:'histəri]
prehuman [.pri:'hju:mən]
prejudge [.pri:'ʤʌʤ]
prejudication [.pri:ʤu:di'keiʃ°n]
prejudice ['preʤʋdis]
prejudiced ['preʤʋdist]
prejudicial [.preʤʋ'diʃ°l]
prelacy ['preləsi]
prelapsarian [.pri:læp'seəriən]
prelate ['prelət]
prelatess ['prelətəs]
prelect [pri'lekt]
prelection [pri'lekʃ°n]
prelector [pri'lektə]
prelibation [.pri:lai'beiʃ°n]
preliminary [pri'limin°ri]
preliterate [.pri:'litərit]
prelude ['prelju:d]
prelusive [pri'lu:siv]
prelusory [pri'lju:səri]
premarital [pri'mæritəl]
premature ['preməʧə]
prematureness [.premə'ʧʋənəs]
prematurity [.premə'ʧʋərəti]
premeditated [pri:'mediteitid]
premeditation [pri:.medi'teiʃ°n]
premie ['pri:mi]
premier ['premiə]
premiere ['premieə]
premiership ['premiəʃip]
premise ['premis]
premises ['premisiz]
premiss ['premis]
premium ['pri:miəm]
premonition [.premə'niʃ°n]
prenatal [.pri:'neit°l]
prentice ['prentis]
preoccupation [pri.ɒkjʋ'peiʃ°n]
preoccupied [pri'ɒkjʋpaid]
preoccupy [pri'ɒkjʋpai]
preoperative [.pri:'ɒpərətiv]
preordain [.pri:ɔ:'dein]
preordination [.pri:ɔ:di'neiʃ°n]
prep school ['prepsku:l]
prep [prep]
prep-randial [.pri:'prændiəl]
prepaid [.pri:'peid]
preparation [.prepə'reiʃ°n]
preparative [pri'pærətiv]
preparatory [pri'pærətəri]
prepare [pri'peə]
prepared [pri'peəd]
preparedness [pri'peədnəs]
prepay [.pri:'pei]
prepayment [.pri:'peimənt]
prepense [pri'pens]
preponderance [pri'pɒndərəns]
preponderant [pri'pɒndərənt]
preponderate [pri'pɒndəreit]
preposition [.prepə'ziʃ°n]
prepositional [.prepə'ziʃ°nəl]
prepossess [.pri:pə'zes]
prepossession [.pri:pə'zeʃ°n]
preposterous [pri'pɒstərəs]
prepotent [pri'pəʋt°nt]
preppy ['prepi]
prepuce ['pri:pju:s]
prerelease [.pri:ri'li:s]
prerequisite [pri:'rekwəzit]
prerogative [pri'rɒgətiv]
presage ['presiʤ]
presageful ['presiʤ°fəl]
presbyopia [.prezbi'əʋpiə]
presbyter ['prezbitə]
Presbyterian [.prezbi'tiəriən]
presbytery ['prezbitəri]
preschool [.pri:'sku:l]
preschooler [.pri:'sku:lə]
prescience ['presiəns]
prescient ['presiənt]
prescientific [.pri:saiən'tifik]
prescind [pri'sind]
prescribe [pri'skraib]
prescript ['pri:skript]
prescriptible [pri'skriptəb°l]
prescription [pri'skripʃ°n]
prescriptive [pri'skriptiv]
preselection [.pri:si'lekʃ°n]
presence chamber ['prez°ns.ʧeimbə]
presence ['prez°ns]
present ['prez°nt] // [ˈpreznt] noun
//present [pri'zent] verb
present continuous ['prez°nt kən-'tinjʋəs]
present participle ['prez°nt 'pa:tisip°l]
present perfect ['prez°nt 'pз:fikt]
present tense ['prez°nt tens]
present-day [.prez°nt'dei]
presentability [pri.zentə'biləti]
presentable [pri'zentəb°l]
presentation [.prez°n'teiʃ°n]
presentational [.prez°n'teiʃ°nəl]
presentative [pri'zentətiv]
presentee [.prez°n'ti:]
presenter [pri'zentə]
presentient [pri'senʃənt]
presentiment [pri'zentimənt]
presently ['prez°ntli]
presentment [pri'zentmənt]
preservation [.prezə'veiʃ°n]
preservationist [.prezə'veiʃ°nist]
preservative [pri'zз:vətiv]
preserve [pri'zз:v]
preset [.pri:'set]
preshrunk [.pri:'ʃrʌŋk]
preside [pri'zaid]
presidence ['prezidəns]
presidency ['prezidənsi]
president ['prezidənt]
president-elect [.prezidənti'lekt]
presidential [.prezi'denʃ°l]
presidio [pri'sidi.əʋ]
presidium [pri'sidiəm]
press agency ['pres.eiʤ°nsi]
press agent ['pres.eiʤ°nt]
press bed ['presbed]
press button ['pres.bʌt°n]
press clipping ['pres.klipiŋ]
press conference ['pres.kɒnf°rəns]
press cutting ['pres.kʌtiŋ]
press release ['presri.li:s]
press [pres]
press-proof ['prespru:f]
press-ups ['pres ʌps]
pressing ['presiŋ]
pressman ['presmæn]
pressmark ['presma:k]
pressroom ['presru:m]
pressrun ['presrʌn]
pressure gauge ['preʃəgeiʤ]
pressure ['preʃə]
pressurization [.preʃərai'zeiʃ°n]
prestidigitation [.prestidiʤi'teiʃ°n]
prestidigitator [.presti'diʤiteitə]
prestige [pre'sti:ʒ]
prestigious [pre'stiʤəs]
presumable [pri'zju:məb°l]
presumably [pri'zju:məbli]
presume [pri'zju:m]
presumedly [pri'zju:midli]
presuming [pri'zju:miŋ]
presumption [pri'zʌmpʃ°n]
presumptive [pri'zʌmptiv]
presumptuous [pri'zʌmpʧʋəs]
presuppose [.pri:sə'pəʋz]
presupposition [.pri:sʌpə'ziʃ°n]
preteen [.pri:'ti:n]
pretence [pri'tens]
pretend [pri'tend]
pretendant [pri'tendənt]
pretender [pri'tendə]
pretense [pri'tens]
pretension [pri'tenʃ°n]
pretentious [pri'tenʃəs]
pretentiousness [pri'tenʃəsnəs]
preterhuman [.pri:tə'hju:mən]
preterite ['pretərit]
pretermission [.pri:tə'miʃ°n]
pretermit [.pri:tə'mit]
preternatural [.pri:tə'næʧ°rəl]
pretext ['pri:tekst]
pretreatment [.pri:'tri:tmənt]
prettify ['pritifai]
prettiness ['pritinəs]
pretty ['priti]
pretty-pretty ['priti.priti]
prettyism ['pritiiz°m]
pretzel ['prets°l]
prevail [pri'veil]
prevalence ['prevələns]
prevalency ['prevələnsi]
prevalent ['prevələnt]
prevaricate [pri'værikeit]
prevarication [pri.væri'keiʃ°n]
prevenance ['prevənəns]
prevenient [pri'vi:niənt]
prevent [pri'vent]
preventative [pri'ventətiv]
prevention [pri'venʃ°n]
preventive [pri'ventiv]
preview ['pri:vju:]
previous ['pri:viəs]
previously ['pri:viəsli]
prevision [pri'viʒ°n]
prewar [.pri:'wɔ:]
prey [prei]
priapic [prai'eipik]
price current ['prais.kʌrənt]
price level ['prais.lev°l]
price [prais]
price-boom ['praisbu:m]
price-cutting ['prais.kʌtiŋ]
price-list ['praislist]
price-ring ['praisriŋ]
price-slashing ['prais.slæʃiŋ]
price-wave ['praisweiv]
priced [praist]
priceless ['praisləs]
pricey ['praisi]
prick [prik]
prick-eared [.prik'iəd]
prick-ears [.prik'iəz]
pricker ['prikə]
pricket ['prikit]
prickle ['prik°l]
prickly heat [.prikli'hi:t]
prickly ['prikli]
pride [praid]
prideful ['praidfəl]
prier ['praiə]
priest [pri:st]
priest-ridden ['pri:st.rid°n]
priestcraft ['pri:stkra:ft]
priestess [.pri:st'es]
priesthood ['pri:sthʋd]
priestlike ['pri:stlaik]
priestling ['pri:stliŋ]
priestly ['pri:stli]
prig [prig]
priggery ['prigəri]
priggish ['prigiʃ]
prill [pril]
prim [prim]
prima donna [.pri:mə'dɒnə]
primacy ['praiməsi]
primaeval [prai'mi:v°l]
primage ['praimiʤ]
primal [praim°l]
primarily ['praim°rəli]
primary school ['praim°ri sku:l]
primary ['praiməri]
primate ['praimət]
prime [praim]
primer ['praimə]
primero [pri'meərəʋ]
primeval [prai'mi:v°l]
primitive ['primətiv]
primness ['primnəs]
primogenitor [.praiməʋ'ʤenitə]
primogeniture [.praiməʋ'ʤeniʧə]
primordial [prai'mɔ:diəl]
primordium [prai'mɔ:diəm]
primrose ['primrəʋz]
primula ['primjʋlə]
prince [prins]
princeling ['prins°liŋ]
princely ['prinsli]
princess [.prin'ses]
principal ['prinsəp°l]
principality [.prinsə'pæləti]
principally ['prinsəp°li]
principium [prin'sipiəm]
principle ['prinsəp°l]
principled ['prinsəp°ld]
prink [priŋk]
print [print]
print-seller ['print.selə]
print-shop ['prinʧɒp]
print-works ['printwз:ks]
printable ['printəb°l]
printer ['printə]
printery ['printəri]
printing-press ['printiŋpres]
printout ['print .aʋt]
prior ['praiə]
prioress [.praiə'res]
priority [prai'ɒrəti]
priory ['praiəri]
prise [praiz]
prism ['priz°m]
prismatic [priz'mætik]
prison [priz°n]
prison-breaker ['priz°n.breikə]
prison-breaking ['priz°n.breikiŋ]
prison-house ['priz°nhaʋs]
prisoner ['priz°nə]
pristine ['pristi:n]
prius ['praiəs]
privacy ['privəsi]
private ['praivət]
privateer [.praivə'tiə]
privation [prai'veiʃ°n]
privative ['privətiv]
privatization [.praivətai'zeiʃ°n]
privatize ['praivətaiz]
privilege ['privəliʤ]
privileged ['privəliʤd]
privity ['privəti]
privy ['privi]
prizable ['praizəb°l]
prize money ['praiz.mʌni]
prize [praiz]
prize-ring ['praizriŋ]
prizefight ['praizfait]
prizefighter ['praizfaitə]
prizeman ['praizmən]
prizewinner ['praiz.winə]
pro [prəʋ]
pro- [prəʋ-]
probabilistic [.prɒbəbə'listik]
probability [.prɒbə'biləti]
probable ['prɒbəb°l]
probably ['prɒbəbli]
probate ['prəʋbeit]
probation [prə'beiʃ°n]
probational [prə'beiʃ°nəl]
probationary [prə'beiʃ°nəri]
probationer [prə'beiʃ°nə]
probative ['prəʋbətiv]
probe [prəʋb]
probity ['prəʋbəti]
problem ['prɒbləm]
problematic [.prɒblə'mætik]
problematic(al) [.prɒblə'mætik°l]
problematics [.prɒblə'mætiks]
proboscis [prəʋ'bɒsis]
procedural [prə'si:ʤ°rəl]
procedure [prəʋ'si:ʤə]
proceed [prə'si:d]
proceeding [prə'si:diŋ]
proceedings [prə'si:diŋz]
proceeds ['prəʋsi:dz]
proces-verbal [prə.seiveə'ba:l]
process ['prəʋses]
procession [prə'seʃ°n]
processional [prə'seʃ°nəl]
processionary [prə'seʃ°nəri]
processionist [prə'seʃ°nist]
processive [prəʋ'sesiv]
processor ['prəʋsesə]
proclaim [prə'kleim]
proclamation [.prɒklə'meiʃ°n]
proclivity [prəʋ'klivəti]
proconsul [.prəʋ'kɒns°l]
procrastinate [prəʋ'kræstineit]
procrastination [prəʋ.kræsti'nei-ʃ°n]
procrastinative [prə'kræstinətiv]
procreate ['prəʋkrieit]
procreation [.prəʋkri'eiʃ°n]
procreator ['prəʋkrieitə]
Procrustean [prəʋ'krʌstiən]
proctorship ['prɒktəʃip]
procumbent [prəʋ'kʌmbənt]
procurable [prə'kjʋərəb°l]
procurance [prə'kjʋərəns]
procuration [.prəkjʋ'reiʃ°n]
procurator ['prɒkjʋreitə]
procure [prə'kjʋə]
procurement [prə'kjʋəmənt]
procurer [prə'kjʋərə]
procuress [prə'kjʋərəs]
prod [prəd]
prodigal ['prədig°l]
prodigality [.prədi'gæləti]
prodigious [prə'diʤəs]
prodigy ['prədəʤi]
proditor ['prɒditə]
prodrome ['prəʋdrəʋm]
produceI n ['prədju:s]
producer [prə'dju:sə]
producible [prə'dju:səb°l]
product ['prədʌkt]
production [prə'dʌkʃ°n]
productive [prə'dʌktiv]
productivity [.prɒdʌk'tivəti]
proem ['prəʋem]
prof [prɒf]
profanation [.prɒfə'neiʃ°n]
